,region,model,accuracy,score,loss,perplexity
0,HC-FR1,balmMoE,1.0,0.9963747549057007,2.6204887035419233e-05,1.0039722442626953
1,HC-FR1,balmMoE,1.0,0.9999314713478088,2.571199911471922e-05,1.0000685453414917
2,HC-FR1,balmMoE,1.0,0.9999693512916565,1.8409644326311536e-05,1.0000306510925292
3,HC-FR1,balmMoE,1.0,0.9999576139450074,2.016609869315289e-05,1.0000423908233642
4,HC-FR1,balmMoE,1.0,0.9998501229286194,7.195289799710736e-05,1.0001499366760254
5,HC-FR1,balmMoE,1.0,0.9998884773254395,2.5559103960404173e-05,1.0001115989685059
6,HC-FR1,balmMoE,1.0,0.9896596217155457,0.005476871971040964,1.0106796979904176
7,HC-FR1,balmMoE,1.0,0.9999045276641846,3.7343361327657476e-05,1.0000954961776733
8,HC-FR1,balmMoE,1.0,0.9999831199645997,8.980978236650117e-06,1.0000168800354003
9,HC-FR1,balmMoE,1.0,0.9999827003479004,1.0441423000884242e-05,1.0000172996520995
10,HC-FR1,balmMoE,1.0,0.9999071335792542,2.1773383195977658e-05,1.000092911720276
11,HC-FR1,balmMoE,1.0,0.9998745036125183,9.016745025292039e-05,1.0001255369186401
12,HC-FR1,balmMoE,1.0,0.9999694585800171,9.965791832655668e-06,1.0000305461883545
13,HC-FR1,balmMoE,1.0,0.9999564576148987,2.129925815097522e-05,1.000043544769287
14,HC-FR1,balmMoE,1.0,0.9999831819534302,1.5435682144016027e-05,1.0000168180465698
15,HC-FR1,balmMoE,1.0,0.9993801617622375,0.0002441348769934848,1.0006217622756959
16,HC-FR1,balmMoE,1.0,0.9999614572525024,1.3548001334129367e-05,1.000038547515869
17,HC-FR1,balmMoE,1.0,0.9999639678001404,1.7167003534268588e-05,1.0000360345840453
18,HC-FR1,balmMoE,1.0,0.984793484210968,0.009226673282682896,1.015801992416382
19,HC-FR1,balmMoE,1.0,0.9996968865394592,0.00014045104035176337,1.000303454399109
20,HC-FR1,balmMoE,0.96,0.9933205413818359,4.0690134483156726e-05,1.2036221170425414
21,HC-FR1,balmMoE,1.0,0.9998912906646729,2.7945683541474864e-05,1.0001087856292725
22,HC-FR1,balmMoE,1.0,0.9999499225616455,1.6624033378320746e-05,1.000050082206726
23,HC-FR1,balmMoE,1.0,0.9999731540679931,1.547179817862343e-05,1.0000268459320067
24,HC-FR1,balmMoE,1.0,0.9999405598640442,4.1331346437800676e-05,1.0000594425201417
25,HC-FR1,balmMoE,1.0,0.9999067378044129,2.1010662749176845e-05,1.0000933456420897
26,HC-FR1,balmMoE,1.0,0.9886800885200501,1.9110120774712414e-05,1.015739736557007
27,HC-FR1,balmMoE,1.0,0.9995598125457764,0.00015318843361455947,1.0004411220550538
28,HC-FR1,balmMoE,1.0,0.9999156451225281,4.712232475867495e-05,1.0000843715667724
