,region,model,accuracy,score,loss,perplexity
0,HC-FR1,balmMoE,1.0,0.9999519324302674,2.2010715838405304e-05,1.00004807472229
1,HC-FR1,balmMoE,1.0,0.9413312602043152,0.0257971603423357,1.0748468255996704
2,HC-FR1,balmMoE,0.92,0.9494327569007873,0.022905059158802032,1.9586991882324218
3,HC-FR1,balmMoE,1.0,0.9894439816474915,0.005428295582532883,1.010910277366638
4,HC-FR1,balmMoE,0.96,0.9392681050300599,0.018387803807854652,1.1353605604171753
5,HC-FR1,balmMoE,1.0,0.9785015225410462,0.011831915937364101,1.023382339477539
6,HC-FR1,balmMoE,1.0,0.9829877233505249,0.006628456525504589,1.0181128931045533
7,HC-FR1,balmMoE,0.92,0.959996497631073,0.01977326162159443,49.38164233207703
8,HC-FR1,balmMoE,1.0,0.984291250705719,0.009855124168097973,1.0162626123428344
9,HC-FR1,balmMoE,0.96,0.935238196849823,0.05976226180791855,3.431563305854797
10,HC-FR1,balmMoE,0.84,0.9051185941696167,0.0653025358915329,7.722585191726685
11,HC-FR1,balmMoE,0.96,0.9487919282913208,0.021347876638174057,3.4182140398025513
12,HC-FR1,balmMoE,0.96,0.9793129777908325,0.009992568753659725,3.136932053565979
13,HC-FR1,balmMoE,0.92,0.9865440654754639,0.008806063793599606,18.98821144104004
14,HC-FR1,balmMoE,1.0,0.98057058095932,8.936949598137289e-05,1.0372532415390014
15,HC-FR1,balmMoE,1.0,0.9758152842521668,0.011471186764538288,1.0277131366729737
16,HC-FR1,balmMoE,1.0,0.9796683740615845,0.010789578780531883,1.021140637397766
17,HC-FR1,balmMoE,0.92,0.9692479515075684,0.02780962735414505,19.859510116577148
18,HC-FR1,balmMoE,1.0,0.9825779700279236,0.006222080904990435,1.0203319883346558
19,HC-FR1,balmMoE,1.0,0.9833859348297119,0.010293662548065186,1.0172661113739014
20,HC-FR1,balmMoE,1.0,0.9845844531059265,4.836401785723865e-05,1.0247913694381714
21,HC-FR1,balmMoE,1.0,0.9844873309135437,0.009412608109414577,1.0160567569732666
22,HC-FR1,balmMoE,1.0,0.9736813569068908,0.011481272988021374,1.02848304271698
23,HC-FR1,balmMoE,1.0,0.9720529460906983,0.01331977266818285,1.0309581804275512
24,HC-FR1,balmMoE,1.0,0.9759021520614624,0.011362332850694656,1.0260295152664185
25,HC-FR1,balmMoE,0.96,0.9809687829017639,0.01059495285153389,2.6554184103012086
26,HC-FR1,balmMoE,0.96,0.9604160475730896,0.014695369638502598,2.400344886779785
27,HC-FR1,balmMoE,0.96,0.9729548144340515,0.020704524591565132,61.255796999931334
28,HC-FR1,balmMoE,1.0,0.9786764526367188,0.018489966168999672,1.0221730756759644
29,HC-FR1,balmMoE,0.96,0.9780679893493652,0.01797838881611824,7.3010416507720945
30,HC-FR1,balmMoE,0.92,0.9687306118011475,0.01060510240495205,15.820943870544433
31,HC-FR1,balmMoE,1.0,0.9901206374168396,0.003093940671533346,1.010299530029297
32,HC-FR1,balmMoE,1.0,0.9731790089607238,0.01272729691118002,1.028512291908264
33,HC-FR1,balmMoE,0.88,0.9223558616638183,0.07502707839012146,4.41914915561676
34,HC-FR1,balmMoE,1.0,0.9921212077140809,0.00471953209489584,1.0080131912231445
35,HC-FR1,balmMoE,0.76,0.9078811407089233,0.10844144225120544,67.12061625480652
36,HC-FR1,balmMoE,0.8,0.8587649405002594,0.07488618046045303,2.8743813943862917
37,HC-FR1,balmMoE,0.96,0.9719259452819824,0.008306186646223068,1.1018945121765136
38,HC-FR1,balmMoE,1.0,0.9993297100067139,0.00022007565712556243,1.0006716680526733
39,HC-FR1,balmMoE,0.88,0.9600780773162841,0.028897259384393692,52.481963081359865
40,HC-FR1,balmMoE,1.0,0.960469491481781,0.022444551810622215,1.0459464740753175
41,HC-FR1,balmMoE,1.0,0.9999219346046447,3.758546881726943e-05,1.0000780773162843
42,HC-FR1,balmMoE,1.0,0.9640241932868957,0.03161494806408882,1.0385823440551758
43,HC-FR1,balmMoE,1.0,0.9755839085578919,0.01527431420981884,1.0258199548721314
44,HC-FR1,balmMoE,1.0,0.9855844926834106,0.007408815436065197,1.0150314331054688
45,HC-FR1,balmMoE,1.0,0.9999709558486939,1.510502534074476e-05,1.0000290441513062
46,HC-FR1,balmMoE,1.0,0.9996972680091858,8.376607729587704e-05,1.0003033542633057
47,HC-FR1,balmMoE,1.0,0.9793944787979126,0.0022447751834988594,1.0281973457336426
48,HC-FR1,balmMoE,1.0,0.9573046684265136,0.016895364969968796,1.0555857992172242
49,HC-FR1,balmMoE,1.0,0.9687991619110108,0.009859361685812473,1.0344657754898072
50,HC-FR1,balmMoE,1.0,0.999606056213379,0.0001351850078208372,1.0003946733474731
51,HC-FR1,balmMoE,1.0,0.991221797466278,4.480870484258048e-05,1.0112038564682007
52,HC-FR1,balmMoE,0.84,0.9365390610694885,0.03168730065226555,18.405730152130126
53,HC-FR1,balmMoE,1.0,0.9640565681457519,0.023872733116149902,1.0413190364837646
